<<<<<<< HEAD
district,mandal,village,rainfall_mm,date,centroid_lat,centroid_lon,year,month,day,rain_lag1,rain_lag2,predicted_rain,risk_level
Tirupati,Ramachandrapuram,Forest,32.511967,2022-01-01,15.835249976315708,79.29461986634001,2022,1,1,0.8,14.891676,19.91416817,LOW
Y.S.R.Kadapa,Sidhout,Forest,1.1870186,2022-01-01,18.88008846944389,83.69564695942394,2022,1,1,32.511967,0.8,1.1870186,LOW
Y.S.R.Kadapa,S.Mydukur,Forest,0.10542491,2022-01-01,15.321559281101417,79.21363883142949,2022,1,1,1.1870186,32.511967,13.494371049999998,LOW
Y.S.R.Kadapa,Sidhout,Forest,1.1870186,2022-01-01,17.376700218300382,82.31887540926193,2022,1,1,0.10542491,1.1870186,0.609157934,LOW
Tirupati,Pakala,Forest,16.841194,2022-01-01,17.72198300308959,80.97636143278555,2022,1,1,1.1870186,0.10542491,32.4021832,MEDIUM
Tirupati,Chandragiri,Forest,42.776176,2022-01-01,13.473098681110988,79.4531585912589,2022,1,1,16.841194,1.1870186,25.995289850000006,MEDIUM
Y.S.R.Kadapa,Sidhout,Forest,1.1870186,2022-01-01,15.034953569875766,78.68904699357844,2022,1,1,42.776176,16.841194,1.1870186,LOW
Y.S.R.Kadapa,Sidhout,Forest,1.1870186,2022-01-01,17.460418231862505,81.69626473881844,2022,1,1,1.1870186,42.776176,4.317853680000001,LOW
Tirupati,Renigunta,Forest,0.8,2022-01-01,17.42856919350279,82.3290833268054,2022,1,1,1.1870186,1.1870186,9.282223169999998,LOW
Tirupati,Ramachandrapuram,Forest,32.511967,2022-01-01,14.413235843564353,79.27546003653362,2022,1,1,0.8,1.1870186,19.827180199999997,LOW
Tirupati,Chandragiri,Forest,42.776176,2022-01-01,16.07109722215569,78.87301453558197,2022,1,1,32.511967,0.8,40.7233342,MEDIUM
Y.S.R.Kadapa,Sidhout,Forest,1.1870186,2022-01-01,13.741921994654328,79.1853965887407,2022,1,1,42.776176,32.511967,2.55748434,LOW
Tirupati,Renigunta,Forest,0.8,2022-01-01,15.403669222680248,77.1395486157411,2022,1,1,1.1870186,42.776176,16.6930256,LOW
Tirupati,Pakala,Forest,16.841194,2022-01-01,13.057392420010425,78.66345475103164,2022,1,1,0.8,1.1870186,26.35068063,MEDIUM
Tirupati,Chandragiri,Forest,42.776176,2022-01-01,13.398108674400977,79.5236135740164,2022,1,1,16.841194,0.8,32.33768325,MEDIUM
Y.S.R.Kadapa,S.Mydukur,Forest,0.10542491,2022-01-01,18.275468258050903,82.8102750042682,2022,1,1,42.776176,16.841194,17.173725345999998,LOW
Tirupati,Pakala,Forest,16.841194,2022-01-01,15.403669222680248,77.1395486157411,2022,1,1,0.10542491,42.776176,22.0281904,MEDIUM
Y.S.R.Kadapa,Lingala,Forest,0.84792125,2022-01-01,13.479216861057434,79.35429218374426,2022,1,1,16.841194,0.10542491,16.3222905,LOW
Y.S.R.Kadapa,Lingala,Forest,0.84792125,2022-01-01,16.362035540013963,79.7711715419386,2022,1,1,0.84792125,16.841194,0.8479212500000001,LOW
Y.S.R.Kadapa,Lingala,Forest,0.84792125,2022-01-01,15.980983613323737,79.42429067288104,2022,1,1,0.84792125,0.84792125,3.6566722,LOW
Y.S.R.Kadapa,Lingala,Forest,0.84792125,2022-01-01,15.64903855645262,77.29537633120871,2022,1,1,0.84792125,0.84792125,7.1807304,LOW
Tirupati,Renigunta,Forest,0.8,2022-01-01,13.321403866651991,79.35234339071415,2022,1,1,0.84792125,0.84792125,12.0135704,LOW
Y.S.R.Kadapa,Sidhout,Forest,1.1870186,2022-01-01,13.62794231050209,78.37506444130224,2022,1,1,0.8,0.84792125,4.317853680000001,LOW
Y.S.R.Kadapa,S.Mydukur,Forest,0.10542491,2022-01-01,13.62794231050209,78.37506444130224,2022,1,1,1.1870186,0.8,0.253924178,LOW
Y.S.R.Kadapa,Sidhout,Forest,1.1870186,2022-01-01,16.507916881750926,80.01734672593217,2022,1,1,0.10542491,1.1870186,6.66888156,LOW
Tirupati,Venkatagiri,Forest,14.891676,2022-01-01,13.728068968802948,79.48660193079844,2022,1,1,1.1870186,0.10542491,15.597399000000001,LOW
Tirupati,Ramachandrapuram,Forest,32.511967,2022-01-01,18.655446774809132,84.1497206168474,2022,1,1,14.891676,1.1870186,32.33768325,MEDIUM
Y.S.R.Kadapa,Sidhout,Forest,1.1870186,2022-01-01,13.281412771669691,78.78346074934643,2022,1,1,32.511967,14.891676,4.240449960000001,LOW
Tirupati,Pakala,Forest,16.841194,2022-01-01,18.07944444406446,82.99971088370154,2022,1,1,1.1870186,32.511967,16.841194,LOW
Y.S.R.Kadapa,S.Mydukur,Forest,0.10542491,2022-01-01,17.313435337768283,81.78168658462654,2022,1,1,16.841194,1.1870186,0.24433992799999998,LOW
Y.S.R.Kadapa,Sidhout,Forest,1.1870186,2022-01-01,17.580766410926188,82.96086610856956,2022,1,1,0.10542491,16.841194,4.024131221999999,LOW
